,index,track_id,streams,country,artists,artist_genres,duration,name,date,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence,key_normalized,tempo_normalized,time_signature_normalized,embedding_0,embedding_1
0,5.0,18u4eXpEvQpssIWMJ6rrZF,97370,at,['My Fearless Friend'],[],147000,Dieses Lied,2014/01,5.45e-05,0.494,147000,5.45e-06,4,0.925,0.0602,-5.552,1,0.0406,150.002,4,0.534,0.36363636363636365,0.6041871460000937,0.75,6.1897416,7.461386
1,15.0,40ia0VswpL9SUuPdfLyabK,93352,at,"['Pitbull', 'Kesha']","['pop rap', 'pop', 'miami hip hop', 'dance pop', 'post-teen pop']",204280,Timber (feat. Ke$ha),2014/01,0.0283,0.59,204280,0.0,11,0.964,0.154,-4.097,1,0.102,129.971,4,0.807,1.0,0.48698099517857985,0.75,9.024018,10.238895
2,51.0,7398yjipWAaoCGIl7ukaeX,91033,at,['Milky Chance'],['german pop'],315693,Stolen Dance,2014/01,0.411,0.879,315693,0.000128,11,0.566,0.0794,-8.789,1,0.0364,114.006,4,0.673,1.0,0.3935659785610635,0.75,10.470739,8.360798
3,31.0,5pY3ovFxbvAg7reGZjJQSp,76060,at,['Ed Sheeran'],"['pop', 'uk pop']",299146,I See Fire,2014/01,0.638,0.641,299147,5.14e-06,6,0.176,0.252,-11.692,1,0.0349,76.031,4,0.297,0.5454545454545454,0.17136521087862194,0.75,9.901429,3.8425498
4,19.0,4RXpgGM7A4Hg7cFBoH5KyF,69671,at,['Avicii'],"['pop rap', 'pop', 'pop dance', 'dance pop', 'edm']",255093,Hey Brother,2014/01,0.0309,0.545,255093,4.64e-05,7,0.78,0.0828,-4.867,0,0.0436,125.014,4,0.458,0.6363636363636364,0.4579764078078921,0.75,7.1066384,8.249119
5,50.0,72gGeQ0dZ7E8RlBeNJNJkb,66360,at,"['Eminem', 'Rihanna']","['pop', 'urban contemporary', 'detroit hip hop', 'barbadian pop', 'dance pop', 'hip hop', 'rap']",250906,The Monster,2014/01,0.0556,0.785,250907,0.0,9,0.86,0.0675,-3.642,1,0.0794,110.048,4,0.623,0.8181818181818182,0.37040677807424055,0.75,9.502693,9.597465
6,54.0,7BFI9QZPQKgYuR2HhDgwbG,63589,at,['Lorde'],"['pop', 'yakut pop', 'nz pop', 'art pop', 'metropopolis']",190185,Royals,2014/01,0.121,0.674,190185,0.0,7,0.428,0.132,-9.504,1,0.122,84.878,4,0.337,0.6363636363636364,0.2231311145438375,0.75,9.200859,7.2492213
7,4.0,13qqdlSeF8FcxsRyapDMZ0,60178,at,"['Faul & Wad', 'PNAU']","['alternative dance', 'tropical house', 'aussietronica', 'australian electropop', 'australian dance']",345173,Changes,2014/01,0.00864,0.822,345173,0.627,3,0.704,0.0633,-8.242,0,0.0374,125.999,4,0.255,0.2727272727272727,0.46373987735804895,0.75,4.8062935,4.0494094
8,26.0,5Zd6xRDfkWRT1FF1CnmvOG,58457,at,['Adel Tawil'],['german pop'],226920,Lieder,2014/01,0.3,0.518,226920,0.0,5,0.756,0.224,-3.492,0,0.0461,183.77,4,0.466,0.45454545454545453,0.8017717549033376,0.75,5.780665,7.909108
9,53.0,78TKtlSLWK8pZAKKW3MyQL,53958,at,"['A Great Big World', 'Christina Aguilera']","['neo mellow', 'viral pop', 'pop', 'piano rock', 'dance pop', 'pop rock', 'post-teen pop']",229400,Say Something,2014/01,0.867,0.453,229400,3.49e-06,2,0.146,0.0945,-8.976,1,0.0343,137.905,3,0.0915,0.18181818181818182,0.5334047184384216,0.5,9.280652,3.3035085
10,2.0,0nrRP2bk19rLc0orkWPQk2,53934,at,['Avicii'],"['pop rap', 'pop', 'pop dance', 'dance pop', 'edm']",247426,Wake Me Up,2014/01,0.0038,0.532,247427,0.0012,2,0.783,0.161,-5.697,1,0.0523,124.08,4,0.643,0.18181818181818182,0.45251135140195664,0.75,6.7830873,7.4582605
11,8.0,2Oehrcv4Kov0SuIgWyQY9e,53363,at,['Imagine Dragons'],"['modern rock', 'rock']",175200,Demons,2014/01,0.202,0.327,175200,9e-05,3,0.71,0.28,-2.928,1,0.0547,179.561,4,0.416,0.2727272727272727,0.7771438936478959,0.75,5.4347467,8.143367
12,10.0,352zfYbDFG8sxkmOAhVeuj,51343,at,"['Calvin Harris', 'Alesso', 'Hurts']","['house', 'tropical house', 'neo-synthpop', 'dance pop', 'pop dance', 'metropopolis', 'edm', 'uk dance', 'electro house', 'progressive house', 'pop']",184373,Under Control (feat. Hurts),2014/01,0.137,0.55,184373,0.00118,8,0.919,0.0886,-3.431,1,0.0788,126.059,4,0.51,0.7272727272727273,0.4640909516453682,0.75,7.6131663,8.965865
13,45.0,6fZ1CXnUL3F7Tmdh1qvqLr,48816,at,['Klingande'],"['deep house', 'tropical house', 'deep tropical house', 'edm', 'pop dance']",201626,Jubel - Radio Edit,2014/01,0.649,0.686,201627,0.0569,0,0.524,0.14,-7.251,1,0.0343,124.938,4,0.0951,0.0,0.4575317137106212,0.75,9.26929,4.850102
