,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0,3AN96mijpWgIeUEJpvCNaO,0.262,0.841,183318,1.38e-06,5,0.804,0.31,-5.761,1,0.104,122.971,4,0.665
1,6FdIgoB81cFG4HbPdLopg1,0.0956,0.776,617209,0.186,11,0.363,0.0557,-20.657,0,0.0401,112.001,4,0.382
2,0qHCv51I6lwyBPFum2jyDB,0.591,0.591,315965,0.749,1,0.631,0.398,-10.995,0,0.043,98.01,4,0.264
3,4iq6mQd3Hkj1BUYC09t3rP,0.00244,0.666,322400,0.284,4,0.888,0.248,-10.863,0,0.0493,121.015,4,0.353
4,1BD0zWpMD6TyO4VwTeSgVK,0.00175,0.85,428661,0.000134,4,0.521,0.0524,-11.474,0,0.0717,112.005,4,0.694
5,5oMumOpP2Bavh3JyjbOqP5,0.011,0.752,191304,6.25e-06,8,0.68,0.309,-5.888,1,0.0541,137.995,4,0.941
6,7BmjQ0KPmlaebcMOtwEYbX,0.101,0.73,319988,0.287,6,0.546,0.14,-10.671,0,0.0435,112.0,4,0.0517
7,4gDvK31eabo3RoaDYI6B9E,0.116,0.858,356847,0.00182,1,0.734,0.083,-8.945,0,0.0661,113.017,4,0.288
8,1gZ9sXMHzIfqOdQsYKUYoc,0.00185,0.795,402902,0.059,10,0.337,0.0806,-19.12,0,0.0696,112.011,4,0.633
9,6n9gRnIKWnUW4SScxC1cGj,0.0536,0.736,475835,0.0625,10,0.598,0.0748,-15.483,0,0.0494,112.997,4,0.347
10,3Z81B2c0U6WK0VqkrcAqoR,0.00559,0.887,421343,0.459,4,0.473,0.044,-18.405,0,0.0725,112.004,4,0.198
11,7b2YXPWXRzzIN2fmGM5Dzi,0.0221,0.754,407864,0.293,7,0.555,0.172,-14.027,0,0.0508,113.008,4,0.37
12,5PNJieSonc6GqnSEGxIJYb,0.00629,0.766,966466,0.0706,2,0.432,0.0628,-15.615,1,0.0459,112.001,4,0.265
13,4BIGl9cDzyw1znsjRytGLd,0.0127,0.74,560785,0.00714,6,0.41,0.106,-16.578,1,0.0499,112.997,4,0.521
14,13Z8di7Br7OsZn5GmtesIf,0.0308,0.873,453410,0.000391,4,0.628,0.166,-9.516,0,0.0828,111.998,4,0.387
15,4FEi7i9oDxDzcYbx53IHwq,0.0551,0.879,413585,0.283,5,0.435,0.0822,-17.619,0,0.0716,111.976,4,0.261
16,1X1IDV1HeEMqpPkKnt1Srx,0.0433,0.864,475652,0.00259,8,0.425,0.196,-18.824,1,0.102,110.997,4,0.44
17,5ZDw1sqZQDlC5aV7ir6kkN,0.0116,0.793,407821,0.238,4,0.497,0.0788,-10.816,1,0.0921,113.001,4,0.543
