,genre,occurence
1259,pop,2484
398,dance pop,1781
1652,trap latino,1542
1376,reggaeton,1278
1319,rap,1008
557,finnish dance pop,968
507,edm,925
1670,tropical house,870
1264,pop dance,847
598,french hip hop,832
566,finnish pop,816
1283,pop urbaine,798
645,german hip hop,764
562,finnish hip hop,733
413,danish pop,721
1718,uk pop,718
1277,pop rap,704
826,italian hip hop,649
715,hip hop,625
1294,post-teen pop,608
937,latin pop,596
934,latin hip hop,584
391,czsk hip hop,573
1639,trap,546
1248,polish hip hop,524
828,italian pop,523
1573,swedish pop,499
1379,reggaeton flow,497
594,francoton,493
490,dutch hip hop,485
410,danish hip hop,457
516,electro house,443
1378,reggaeton colombiano,439
1143,norwegian pop,439
1422,russian hip hop,438
523,electropop,416
1254,polish trap,413
62,arrocha,412
996,mandopop,409
685,greek trap,396
1651,trap italiana,390
878,k-pop,388
610,funk carioca,382
1052,moroccan pop,376
746,icelandic pop,369
494,dutch pop,362
496,dutch rap pop,361
1335,rap conscient,355
383,czech hip hop,347
1567,swedish hip hop,337
214,canadian pop,333
1623,thai pop,329
1342,rap francais,316
1350,rap maroc,316
1580,swedish trap pop,310
1530,southern hip hop,308
1692,turkish pop,300
452,desi pop,298
680,greek hip hop,294
841,j-pop,288
1472,sertanejo universitario,284
1009,melodic rap,284
1641,trap argentino,281
222,cantopop,273
335,colombian pop,273
1743,v-pop,271
1470,sertanejo,252
465,dominican pop,247
1310,r&b,244
68,atl hip hop,242
1596,taiwan pop,241
1037,modern bollywood,241
1553,suomi rock,240
1688,turkish hip hop,235
198,bulgarian pop,232
743,icelandic hip hop,231
1699,turkish trap,230
1566,swedish gangsta rap,222
1471,sertanejo pop,221
542,eurovision,220
1437,russian trap,220
54,argentine hip hop,217
730,house,212
818,israeli pop,206
1301,puerto rican pop,205
1579,swedish trap,204
814,iskelma,203
1568,swedish idol pop,202
553,filmi,199
1271,pop nacional,198
822,italian adult pop,195
52,arabic hip hop,192
1338,rap dominicano,191
1700,turkish trap pop,188
210,canadian hip hop,187
1117,nigerian pop,187
795,indonesian pop,186
1659,trap triste,180
1634,toronto rap,179
679,greek drill,172
1250,polish pop,170
449,dembow,170
1403,romanian trap,169
451,desi hip hop,167
1265,pop edm,164
1499,slovak hip hop,163
84,australian pop,159
1714,uk hip hop,157
1182,opm,157
510,egyptian hip hop,155
1643,trap boricua,154
1709,uk dance,154
651,german pop,153
735,hungarian pop,152
879,k-pop boy group,148
536,estonian pop,148
512,egyptian trap,147
1427,russian pop,147
202,c-pop,145
817,israeli mediterranean,145
1739,urbano espanol,144
